"X","PATHWAY.SORTORDER","BIOCHEMICAL","SUPER.PATHWAY","SUB.PATHWAY","COMP.ID","PLATFORM","CHEMICAL.ID","RI","MASS","CAS","PUBCHEM","KEGG","Group.HMDB","Standardized name"
12,1546,"1,2-dilinoleoyl-GPC (18:2/18:2)","Lipid","Phospholipid Metabolism",52603,"LC/MS Pos Late",100008903,2006,782.56944,"998-06-1","5288075","","","PC 18:2/18:2"
13,1486,"1,2-dioleoyl-GPC (18:1/18:1)*","Lipid","Phospholipid Metabolism",52457,"LC/MS Pos Late",100008905,2346,786.60074,"4235-95-4","10350317","","","PC 18:1/18:1"
14,1530,"1,2-dioleoyl-GPE (18:1/18:1)","Lipid","Phospholipid Metabolism",52609,"LC/MS Pos Late",100008906,2485,744.55378,"5/1/04","9546757","","","PE 18:1/18:1"
15,1526,"1,2-dioleoyl-GPG (18:1/18:1)","Lipid","Phospholipid Metabolism",19142,"LC/MS Polar",1541,715,773.53381,"67254-28-8","11846228","","","PG 18:1/18:1"
16,1527,"1,2-dioleoyl-GPI (18:1/18:1)","Lipid","Phospholipid Metabolism",52619,"LC/MS Polar",100008908,913,861.54985,"","","","","PI 18:1/18:1"
17,1535,"1,2-dioleoyl-GPS (18:1/18:1)","Lipid","Phospholipid Metabolism",19191,"LC/MS Polar",1533,909,786.52905,"6811-55-8","6438639","","","PS 18:1/18:1"
18,1479,"1,2-dipalmitoyl-GPC (16:0/16:0)","Lipid","Phospholipid Metabolism",19130,"LC/MS Pos Late",100000657,2365,734.56944,"63-89-8","452110","","HMDB00564","PC 16:0/16:0"
19,1551,"1,2-distearoyl-GPC (18:0/18:0)","Lipid","Phospholipid Metabolism",19132,"LC/MS Pos Late",100000660,3066,790.63204,"816-94-4","94190","","","PC 18:0/18:0"
20,1050,"10-heptadecenoate (17:1n7)","Lipid","Long Chain Fatty Acid",33971,"LC/MS Neg",100001278,5555,267.23295,"29743-97-3","5312435","","HMDB60038","10Z-Heptadecenoic acid"
21,1060,"10-nonadecenoate (19:1n9)","Lipid","Long Chain Fatty Acid",33972,"LC/MS Neg",100001277,5780,295.26425,"73033-09-7","5312513","","HMDB13622","Nonadeca-10Z-enoic acid"
