"CHEM_ID","LIB_ID","COMP_ID","CHRO_LIB_ENTRY_ID","SUPER_PATHWAY","SUB_PATHWAY","PATHWAY_SORTORDER","TYPE","INCHIKEY","SMILES","CHEMICAL_NAME","PLOT_NAME","X","HMDB","PUBCHEM","CHEMSPIDER","KEGG","CAS","PRIMARY_ID","X.1","X.2","X.3","X.4","X.5","Standardized name"
342,209,18476,126842,"Lipid","Primary Bile Acid Metabolism",3455,"NAMED","RFDAIACWWDREDC-FRVQLJSFSA-N","O=C(CNC(CC[C@H]([C@@H]1[C@@]2(C)[C@@H](O)C[C@]3([H])[C@@]4(C)CC[C@@H](O)C[C@@]4([H])C[C@@H](O)[C@@]3([H])[C@]2([H])CC1)C)=O)O","glycocholate","glycocholate",NA,"hmdb:HMDB0000138","pubchem:10140","chemspider:9734","kegg:C01921","CAS:475-31-0,863-57-0","hmdb:HMDB0000138",NA,NA,NA,NA,"","Glycocholic acid"
344,305,43802,147630,"Amino Acid","Creatine Metabolism",527,"NAMED","BPMFZUMJYQTVII-UHFFFAOYSA-N","NC(NCC(O)=O)=N","guanidinoacetate","guanidinoacetate",NA,"hmdb:HMDB0000128","pubchem:763","chemspider:743","kegg:C00581","CAS:352-97-6","hmdb:HMDB0000128",NA,NA,NA,NA,"","Guanidoacetic acid"
355,209,59,123153,"Amino Acid","Histidine Metabolism",70,"NAMED","HNDVDQJCIGZPNO-UHFFFAOYSA-N","NC(C(O)=O)CC1=CN=CN1","histidine","histidine",NA,"hmdb:HMDB0000177","pubchem:6274","chemspider:752","kegg:C00135","CAS:5934-29-2","hmdb:HMDB0000177",NA,NA,NA,NA,"","Histidine"
356,209,1712,124815,"Lipid","Corticosteroids",3306,"NAMED","JYGXADMDTFJGBT-VWUMJDOOSA-N","O[C@@]1([C@@](CO)=O)[C@]2(C)[C@](CC1)([H])[C@@](CCC3=CC4=O)([H])[C@]([C@@]3(C)CC4)([H])[C@@H](O)C2","cortisol","cortisol",NA,"hmdb:HMDB0000063","pubchem:5754","","kegg:C00735","CAS:50-23-7","hmdb:HMDB0000063",NA,NA,NA,NA,"","Cortisol"
358,305,590,146416,"Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",470,"NAMED","VVIUBCNYACGLLV-UHFFFAOYSA-N","NCCS(O)=O","hypotaurine","hypotaurine",NA,"hmdb:HMDB0000965","pubchem:107812","chemspider:96959","kegg:C00519","CAS:300-84-5","hmdb:HMDB0000965",NA,NA,NA,NA,"","Hypotaurine"
361,209,1123,123191,"Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing",4120,"NAMED","UGQMRVRMYYASKQ-KQYNXXCUSA-N","O[C@H]1[C@H](N2C(N=CN=C3O)=C3N=C2)O[C@H](CO)[C@H]1O","inosine","inosine",NA,"hmdb:HMDB0000195","pubchem:6021","chemspider:21241953","kegg:C00294","CAS:58-63-9","hmdb:HMDB0000195",NA,NA,NA,NA,"","Inosine"
362,400,2133,155461,"Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing",4119,"NAMED","GRSZFWQUAKGDAV-UHFFFAOYSA-N","OC1C(C(N2C=NC3=C2N=CNC3=O)OC1COP(O)(O)=O)O","inosine 5'-monophosphate (IMP)","inosine 5'-monophosphate (IMP)",NA,"hmdb:HMDB0000175","pubchem:8582","chemspider:5482599","kegg:C00130","CAS:4691-65-0","hmdb:HMDB0000175",NA,NA,NA,NA,"","IMP"
363,305,1124,145716,"Lipid","Inositol Metabolism",2202,"NAMED","CDAISMWEOUEBRE-GPIVLXJGSA-N","O[C@@H]1[C@@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H]1O","myo-inositol","myo-inositol",NA,"hmdb:HMDB0000211","pubchem:892","chemspider:10239179","kegg:C00137","CAS:87-89-8","hmdb:HMDB0000211",NA,NA,NA,NA,"","Myo-inositol"
376,400,1125,155350,"Amino Acid","Leucine, Isoleucine and Valine Metabolism",385,"NAMED","AGPKZVBTJJNPAG-UHFFFAOYSA-N","NC(C(O)=O)C(C)CC","isoleucine","isoleucine",NA,"hmdb:HMDB0000172","pubchem:6306","chemspider:769","kegg:C06418,C00407,C16424","CAS:73-32-5","hmdb:HMDB0000172",NA,NA,NA,NA,"","Isoleucine"
381,305,6146,147948,"Amino Acid","Lysine Metabolism",123,"NAMED","OYIFNHCXNCRBQI-UHFFFAOYSA-N","OC(CCCC(N)C(O)=O)=O","2-aminoadipate","2-aminoadipate",NA,"hmdb:HMDB0000510","pubchem:92136","chemspider:456","kegg:C00956","CAS:1118-90-7,542-32-5","hmdb:HMDB0000510",NA,NA,NA,NA,"","alpha-Aminoadipic acid"
391,400,2132,155460,"Amino Acid","Urea cycle; Arginine and Proline Metabolism",492,"NAMED","RHGKLRLOHDJJDR-UHFFFAOYSA-N","NC(C(O)=O)CCCNC(N)=O","citrulline","citrulline",NA,"hmdb:HMDB0000904","pubchem:9750","chemspider:810","kegg:C00327","CAS:372-75-8","hmdb:HMDB0000904",NA,NA,NA,NA,"","Citrulline"
393,305,567,147468,"Carbohydrate","Disaccharides and Oligosaccharides",1305,"NAMED","GUBGYTABKSRVRQ-DCSYEGIMSA-N","O[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)O[C@H](CO)[C@H](O)[C@@H]1O","lactose","lactose",NA,"hmdb:HMDB0041627","pubchem:6134","chemspider:5904","kegg:C01970","CAS:5965-66-2","hmdb:HMDB0041627",NA,NA,NA,NA,"","Lactose"
397,400,60,155300,"Amino Acid","Leucine, Isoleucine and Valine Metabolism",332,"NAMED","ROHFNLRQFUQHCH-YFKPBYRVSA-N","O=C([C@H](CC(C)C)N)O","leucine","leucine",NA,"hmdb:HMDB0000687","pubchem:6106","","kegg:C00123","CAS:61-90-5","hmdb:HMDB0000687",NA,NA,NA,NA,"","Leucine"
407,400,1301,155354,"Amino Acid","Lysine Metabolism",105,"NAMED","KDXKERNSBIXSRK-UHFFFAOYSA-N","NC(C(O)=O)CCCCN","lysine","lysine",NA,"hmdb:HMDB0003405","pubchem:5962","chemspider:5747","kegg:C00739,C00047","CAS:56-87-1","hmdb:HMDB0003405",NA,NA,NA,NA,"","Lysine"
