"CHEM_ID","LIB_ID","COMP_ID","CHRO_LIB_ENTRY_ID","SUPER_PATHWAY","SUB_PATHWAY","PATHWAY_SORTORDER","TYPE","INCHIKEY","SMILES","CHEMICAL_NAME","PLOT_NAME","X","HMDB","PUBCHEM","CHEMSPIDER","KEGG","CAS","PRIMARY_ID","X.1","X.2","X.3","X.4","X.5","Standardized name"
189,400,1498,155380,"Amino Acid","Lysine Metabolism",116,"NAMED","MXNRLFUSFKVQSK-UHFFFAOYSA-N","C[N+](C)(CCCCC(C([O-])=O)N)C","N6,N6,N6-trimethyllysine","N6,N6,N6-trimethyllysine",NA,"hmdb:HMDB0001325","pubchem:440120","chemspider:140379","kegg:C03793","CAS:23284-33-5","hmdb:HMDB0001325",NA,NA,NA,NA,"","N-6-Trimethyllysine"
192,400,37496,156406,"Amino Acid","Polyamine Metabolism",538,"NAMED","KLZGKIDSEJWEDW-UHFFFAOYSA-N","CC(NCCCCN)=O","N-acetylputrescine","N-acetylputrescine",NA,"hmdb:HMDB0002064","pubchem:122356","chemspider:109095","kegg:C02714","CAS:18233-70-0","hmdb:HMDB0002064",NA,NA,NA,NA,"","N-Acetylputrescine"
194,209,2829,124831,"Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",437,"NAMED","PYUSHNKNPOHWEZ-UHFFFAOYSA-N","CSCCC(C(O)=O)NC=O","N-formylmethionine","N-formylmethionine",NA,"hmdb:HMDB0001015","pubchem:439750","chemspider:388809","kegg:C03145","CAS:4289-98-9","hmdb:HMDB0001015",NA,NA,NA,NA,"","N-Formylmethionine"
197,209,42382,124939,"Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",446,"NAMED","ZJUKTBDSGOFHSH-UHFFFAOYSA-N","OC1C(N2C=NC3=C2N=CN=C3N)OC(CSCCC(N)C(O)=O)C1O","S-adenosylhomocysteine (SAH)","S-adenosylhomocysteine (SAH)",NA,"hmdb:HMDB0000939","pubchem:439155","chemspider:16788012","kegg:C00021","CAS:979-92-0","hmdb:HMDB0000939",NA,NA,NA,NA,"","S-Adenosylhomocysteine"
207,209,2831,123233,"Nucleotide","Purine Metabolism, Adenine containing",4143,"NAMED","IVOMOUWHDPKRLL-UHFFFAOYSA-N","NC1=NC=NC2=C1N=CN2C3OC(CO4)C(OP4(O)=O)C3O","adenosine 3',5'-cyclic monophosphate (cAMP)","adenosine 3',5'-cyclic monophosphate (cAMP)",NA,"hmdb:HMDB0000058","pubchem:6076","chemspider:268","kegg:C00575","CAS:60-92-4","hmdb:HMDB0000058",NA,NA,NA,NA,"","3',5' cyclic AMP"
209,400,32342,155907,"Nucleotide","Purine Metabolism, Adenine containing",4140,"NAMED","UDMBCSSLTHHNCD-UHFFFAOYSA-N","NC1=NC=NC2=C1N=CN2C3OC(C(C3O)O)COP(O)(O)=O","adenosine 5'-monophosphate (AMP)","AMP",NA,"hmdb:HMDB0000045","pubchem:6083","chemspider:10239183","kegg:C00020","CAS:149022-20-8","hmdb:HMDB0000045",NA,NA,NA,NA,"","AMP"
212,400,1419,155365,"Amino Acid","Polyamine Metabolism",556,"NAMED","WUUGFSXJNOTRMR-IOSLPCCCSA-N","NC1=NC=NC2=C1N=CN2[C@H]3[C@H](O)[C@H](O)[C@@H](CSC)O3","5-methylthioadenosine (MTA)","5-methylthioadenosine (MTA)",NA,"hmdb:HMDB0001173","pubchem:439176","chemspider:388321","kegg:C00170","CAS:2457-80-9","hmdb:HMDB0001173",NA,NA,NA,NA,"","5'-Methylthioadenosine"
213,209,37114,127643,"Nucleotide","Purine Metabolism, Adenine containing",4155,"NAMED","VQAYFKKCNSOZKM-UHFFFAOYSA-N","OC(C1O)C(OC1CO)N(C=N2)C3=C2C(NC)=NC=N3","N6-methyladenosine","N6-methyladenosine",NA,"hmdb:HMDB0004044","pubchem:102175","chemspider:92307","","CAS:1867-73-8","hmdb:HMDB0004044",NA,NA,NA,NA,"","N6-Methyladenosine"
229,209,1110,125971,"Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)",1574,"NAMED","YZXBAPSDXZZRGB-DOFZRALJSA-N","CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(O)=O","arachidonate (20:4n6)","arachidonate (20:4n6)",NA,"hmdb:HMDB0001043","pubchem:444899","chemspider:392692","kegg:C00219","CAS:506-32-1","hmdb:HMDB0001043",NA,NA,NA,NA,"","Arachidonic acid"
231,400,1638,155435,"Amino Acid","Urea cycle; Arginine and Proline Metabolism",483,"NAMED","ODKSFYDXXFIFQN-UHFFFAOYSA-N","N=C(N)NCCCC(N)C(O)=O","arginine","arginine",NA,"hmdb:HMDB0000517","pubchem:6322","chemspider:227","kegg:C00062","CAS:1119-34-2","hmdb:HMDB0000517",NA,NA,NA,NA,"","Arginine"
