"Compound","BIOCHEMICAL","HMDB_ID","Metabolite","X","X.1","X.2","COMP_ID","Standardized name"
"QI11659","C38:2 PE","HMDB08942*","C38:2 PE",NA,NA,NA,NA,"PE 38:2"
"QI11298","C38:3 PC","HMDB08047*","C38:3 PC",NA,NA,NA,NA,"PC 38:3"
"QI5732","C38:3 PE plasmalogen","HMDB11384*","C38:3 PE plasmalogen",NA,NA,NA,NA,"PE P-38:3"
"QI11434","1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)","HMDB08048*","C38:4 PC",NA,NA,NA,"42450","PC 38:4"
"QI5986","C38:4 PC plasmalogen","HMDB11252*","C38:4 PC plasmalogen",NA,NA,NA,NA,"PC P-38:4"
"QI5710","1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)","HMDB09003*","C38:4 PE",NA,NA,NA,"52447","PE 38:4"
"QI5810","C38:5 DAG","HMDB07199*","C38:5 DAG",NA,NA,NA,NA,"DG 38:5"
"QI11167","C38:5 PE plasmalogen","HMDB11386*","C38:5 PE plasmalogen",NA,NA,NA,NA,"PE P-38:5"
"QI5239","C38:6 PC","HMDB07991*","C38:6 PC",NA,NA,NA,NA,"PC 38:6"
"QI11625","C38:6 PC plasmalogen","HMDB11319*","C38:6 PC plasmalogen",NA,NA,NA,NA,"PC P-38:6"
"QI11904","C38:6 PE","HMDB09102*","C38:6 PE",NA,NA,NA,NA,"PE 38:6"
"QI5680","C38:6 PE plasmalogen","HMDB11387*","C38:6 PE plasmalogen",NA,NA,NA,NA,"PE P-38:6"
"QI11561","C38:7 PC plasmalogen","HMDB11229*","C38:7 PC plasmalogen",NA,NA,NA,NA,"PC P-38:7"
"QI11646","C38:7 PE plasmalogen","HMDB11420*","C38:7 PE plasmalogen",NA,NA,NA,NA,"PE P-38:7"
"QI11482","C40:6 PC","HMDB08057*","C40:6 PC",NA,NA,NA,NA,"PC 40:6"
"QI11245","C40:7 PE plasmalogen","HMDB11394*","C40:7 PE plasmalogen",NA,NA,NA,NA,"PE P-40:7"
"TF7","C40:9 PC","HMDB08731*","C40:9 PC",NA,NA,NA,NA,"PC 40:9"
"QI7210","C43:0 TAG","HMDB42062*","C43:0 TAG",NA,NA,NA,NA,"TG 43:0"
"QI7095","C43:1 TAG","HMDB42098*","C43:1 TAG",NA,NA,NA,NA,"TG 43:1"
"QI10151","C43:2 TAG","HMDB43169*","C43:2 TAG",NA,NA,NA,NA,"TG 43:2"
"QI7290","C44:0 TAG","HMDB42063*","C44:0 TAG",NA,NA,NA,NA,"TG 44:0"
"QI9778","C45:0 TAG","HMDB42093*","C45:0 TAG",NA,NA,NA,NA,"TG 45:0"
"QI9887","C45:1 TAG","HMDB42099*","C45:1 TAG",NA,NA,NA,NA,"TG 45:1"
"QI10008","C45:2 TAG","HMDB43170*","C45:2 TAG",NA,NA,NA,NA,"TG 45:2"
"QI9693","C46:0 TAG","HMDB10411*","C46:0 TAG",NA,NA,NA,NA,"TG 46:0"
"QI9924","C46:2 TAG","HMDB10419*","C46:2 TAG",NA,NA,NA,NA,"TG 46:2"
"QI9735","C47:1 TAG","HMDB42100*","C47:1 TAG",NA,NA,NA,NA,"TG 47:1"
"QI7295","C47:2 TAG","HMDB42076*","C47:2 TAG",NA,NA,NA,NA,"TG 47:2"
"QI9559","C48:0 TAG","HMDB05356*","C48:0 TAG",NA,NA,NA,NA,"TG 48:0"
"QI9655","C48:1 TAG","HMDB05359*","C48:1 TAG",NA,NA,NA,NA,"TG 48:1"
"QI9764","C48:2 TAG","HMDB05376*","C48:2 TAG",NA,NA,NA,NA,"TG 48:2"
"QI7260","C48:3 TAG","HMDB05432*","C48:3 TAG",NA,NA,NA,NA,"TG 48:3"
"QI9484","C49:0 TAG","HMDB42095*","C49:0 TAG",NA,NA,NA,NA,"TG 49:0"
"QI7452","C49:2 TAG","HMDB11706*","C49:2 TAG",NA,NA,NA,NA,"TG 49:2"
"QI7347","C49:3 TAG","HMDB42103*","C49:3 TAG",NA,NA,NA,NA,"TG 49:3"
"QI7720","C50:0 TAG","HMDB05357*","C50:0 TAG",NA,NA,NA,NA,"TG 50:0"
"QI7624","C50:1 TAG","HMDB05360*","C50:1 TAG",NA,NA,NA,NA,"TG 50:1"
"QI7527","C50:2 TAG","HMDB05377*","C50:2 TAG",NA,NA,NA,NA,"TG 50:2"
