"Compound","BIOCHEMICAL","HMDB_ID","Metabolite","X","X.1","X.2","COMP_ID","Standardized name"
"MQ84","Glycodeoxycholate","HMDB00631*","glycodeoxycholate/glycochenodeoxycholate",NA,NA,NA,"18477","Glycodeoxycholic acid"
"MQ37","GMP","HMDB01397","GMP",NA,NA,NA,NA,"GMP"
"MQ38","Guanine","HMDB00132","guanine",NA,NA,NA,"32352","Guanine"
"MQ39","Guanosine","HMDB00133","guanosine",NA,NA,NA,"1573","Guanosine"
"MQ28","Hexose monophosphate","HMDB00124*","hexose monophosphate",NA,NA,NA,NA,"Fructose 6-phosphate"
"MQ40","Hippurate","HMDB00714","hippurate",NA,NA,NA,"15753","Hippuric acid"
"TF28","Homocysteine","HMDB00742","homocysteine",NA,NA,NA,"15128;40266","Homocysteine"
"MQ41",NA,"HMDB00676","homocystine",NA,NA,NA,NA,"Homocystine"
"MQ91","4-hydroxyphenylacetate","HMDB00020","hydroxyphenylacetate",NA,NA,NA,"541","4-Hydroxyphenylacetic acid"
"MQ44","Hypoxanthine","HMDB00157","hypoxanthine",NA,NA,NA,"3127","Hypoxanthine"
"MQ45","IMP","HMDB00175","IMP",NA,NA,NA,NA,"IMP"
"MQ94","Indolepropionate","HMDB02302","indole-3-propionate",NA,NA,NA,"32405","3-Indolepropionic acid"
"MQ92","Indolelactate","HMDB00671","indolelactate",NA,NA,NA,"18349","Indolelactic acid"
"MQ93","3-indoxyl sulfate","HMDB00682","indoxylsulfate",NA,NA,NA,"27672","Indoxyl sulfate"
"MQ46","Inosine","HMDB00195","inosine",NA,NA,NA,"1123","Inosine"
"MQ104","Myo-inositol","HMDB00211","inositol",NA,NA,NA,"1124","Myo-inositol"
"MQ19","Isocitrate","HMDB00193","isocitrate",NA,NA,NA,"12110","Isocitric acid"
"TF29","Isoleucine (L-isoleucine)","HMDB00172","isoleucine",NA,NA,NA,"1125","Isoleucine"
"TF30",NA,"HMDB00704","isoxanthopterin",NA,NA,NA,NA,"Isoxanthopterin"
"MQ47","Kynurenine (L-kynurenine)","HMDB00684","kynurenine",NA,NA,NA,"15140","Kynurenine"
"MQ48","Lactate","HMDB00190","lactate",NA,NA,NA,"527","Lactic acid"
"MQ49","Lactose","HMDB00186","lactose",NA,NA,NA,"567;11454","Lactose"
"TF31","Leucine (L-leucine)","HMDB00687","leucine",NA,NA,NA,"60","Leucine"
"MQ50","Malic acid","HMDB00744","malate",NA,NA,NA,NA,"Malic acid"
"MQ106","MDA","HMDB06112","MDA",NA,NA,NA,NA,"Malondialdehyde"
"QI8489","Metoprolol","HMDB01932","metoprolol",NA,NA,NA,"18037","Metoprolol"
"TF34","N-acetylhistidine","HMDB32055","N-acetylhistidine",NA,NA,NA,"33946","N-Acetylhistidine"
"TF35","N-acetylphenylalanine","HMDB00512","N-acetylphenylalanine",NA,NA,NA,"33950","N-Acetylphenylalanine"
"TF36","N-acetylputrescine","HMDB02064","N-acetylputrescine",NA,NA,NA,"37496","N-Acetylputrescine"
"QI3719","Oleic ethanolamide or Oleoyl ethanolamide","HMDB02088","N-oleoylethanolamine",NA,NA,NA,"38102","Oleoyl-EA"
"TF32","N2,N2-dimethylguanosine","HMDB04824","N2,N2-dimethylguanosine",NA,NA,NA,"35137","N2,N2-Dimethylguanosine"
"MQ57","Oxalate (ethanedioate)","HMDB02329","oxalate",NA,NA,NA,"20694","Oxalic acid"
"QI13532","Palmitoyl ethanolamide","HMDB02100","palmithoylethanolamide",NA,NA,NA,"38165","Palmitoyl-EA"
"MQ58","Pantothenate","HMDB00210","pantothenate",NA,NA,NA,"1508","Pantothenic acid"
"MQ64",NA,"HMDB01548*","pentose monophosphate",NA,NA,NA,NA,"Ribose 5-phosphate"
"MQ59","PEP","HMDB00263","PEP",NA,NA,NA,NA,"Phosphoenolpyruvic acid"
"TF37","Phenylalanine (L-phenylalanine)","HMDB00159","phenylalanine",NA,NA,NA,"64","Phenylalanine"
"TF38","Choline phosphate","HMDB01565","phosphocholine",NA,NA,NA,"34396","Choline phosphate"
"MQ96","Phosphocreatine","HMDB01511","phosphocreatine",NA,NA,NA,NA,"Phosphocreatine"
"MQ60",NA,"HMDB06049","phosphotyrosine",NA,NA,NA,NA,"O-Phosphotyrosine"
"QI15147","Piperine","HMDB29377","piperine",NA,NA,NA,"33935","Piperine"
"MQ61","Propionate","HMDB00237","propionate",NA,NA,NA,NA,"Propionic acid"
"TF39","Pterin","HMDB00802","pterin",NA,NA,NA,NA,"Pterin"
"TF40",NA,"HMDB00239","pyridoxine",NA,NA,NA,NA,"Pyridoxine"
"MQ62","Pyruvate","HMDB00243","pyruvate",NA,NA,NA,"48990","Pyruvic acid"
"MQ63","Oxaloacetate","HMDB00232","quinolinate",NA,NA,NA,"47173","Quinolinic acid"
"MQ65","2-hydroxyhippurate (salicylurate)","HMDB00840","salicylurate",NA,NA,NA,"18281","Salicyluric acid"
"TF41","Sarcosine or Sarcosine (N-Methylglycine)","HMDB00271","sarcosine",NA,NA,NA,"1516","Sarcosine"
"TF42","SDMA","HMDB03334","SDMA",NA,NA,NA,NA,"Symmetric dimethylarginine"
"TF43","Solanidine","HMDB03236","solanidine",NA,NA,NA,"39788","Solanidine"
"MQ66","Sorbitol","HMDB00247","sorbitol",NA,NA,NA,"15053","Sorbitol"
"MQ67","Succinate","HMDB00254","succinate",NA,NA,NA,"1437","Succinic acid"
"MQ69","Sucrose","HMDB00258","sucrose",NA,NA,NA,"1519","Sucrose"
"MQ83","Taurocholate","HMDB00036","taurocholate",NA,NA,NA,"18497","Taurocholic acid"
"MQ70","Thymine","HMDB00262","thymine",NA,NA,NA,NA,"Thymine"
"TF45","Tryptophan (L-tryptophan)","HMDB00929","tryptophan",NA,NA,NA,"54","Tryptophan"
"TF46","Tyrosine","HMDB00158","tyrosine",NA,NA,NA,"1299","Tyrosine"
"MQ72","UDP","HMDB00295","UDP",NA,NA,NA,NA,"UDP"
"MQ73","UDP-galactose/UDP-glucose","HMDB00286*","UDP-galactose/UDP-glucose",NA,NA,NA,NA,"UDP-glucose"
"MQ74","UDP-glucuronic acid","HMDB00935","UDP-glucuronate",NA,NA,NA,NA,"UDP-glucuronic acid"
"MQ71",NA,"HMDB00288","UMP",NA,NA,NA,NA,"UMP"
"MQ75","Uracil","HMDB00300","uracil",NA,NA,NA,"605","Uracil"
"MQ76","Urate","HMDB00289","urate",NA,NA,NA,"1604","Uric acid"
"MQ77","Uridine","HMDB00296","uridine",NA,NA,NA,"606","Uridine"
"TF47","Valine","HMDB00883","valine",NA,NA,NA,"1649","Valine"
"MQ78","Xanthine","HMDB00292","xanthine",NA,NA,NA,"3147","Xanthine"
"MQ79","Xanthurenate","HMDB00881","xanthurenate",NA,NA,NA,"15679","Xanthurenic acid"
